All-Genes	Accession-1	Names
leuD	b0071	leuD // b0071 // ECK0073
leuE	b1798	leuE // yeaS // b1798 // ECK1796
leuL	b0075	leuL // leuLP // leulL // leulLP // leuIP // b0075 // ECK0077
leuO	b0076	leuO // b0076 // ECK0078
leuP	b4369	leuP // leuV-beta // leuVbeta // b4369 // ECK4360
leuQ	b4370	leuQ // leuVgamma // b4370 // ECK4361
leuS	b0642	leuS // syl // b0642 // ECK0635
leuT	b3798	leuT // b3798 // ECK3791
leuU	b3174	leuU // b3174 // ECK3163
leuV	b4368	leuV // leuValpha // b4368 // ECK4359
leuW	b0672	leuW // feeB // b0672 // ECK0660
leuX	b4270	leuX // Su-6 // supP // b4270 // ECK4263
leuZ	b1909	leuZ // b1909 // ECK1908
lexA	b4043	lexA // exrA // spr // tsl // umuA // b4043 // ECK4035
lfgA	b2643	lfgA // yfjX // b2643 // ECK2639
lfgB	b2644	lfgB // yfjY // b2644 // ECK2640
lfhA	b0229	lfhA // fhiA // b0229 // ECK0230
lgoD	b4358	lgoD // yjjN // b4358 // ECK4348
lgoR	b4357	lgoR // yjjM // b4357 // ECK4347
lgoT	b4356	lgoT // yjiZ // yjjL // b4356 // ECK4346
lgt	b2828	lgt // umpA // b2828 // ECK2824
lhgD	b2660	lhgD // ygaF // lhgO // b2660 // ECK2654
lhr	b1653	UNCLASSIFIED
ligA	b2411	ligA // dnaL // lig // lop // pdeC // b2411 // ECK2406
ligB	b3647	ligB // yicF // b3647 // ECK3637
lipA	b0628	lipA // lip // b0628 // ECK0621
lipB	b0630	lipB // cde // lip // b0630 // ECK0623
lit	b1139	lit // b1139 // ECK1125
livF	b3454	livF // b3454 // ECK3438
livG	b3455	livG // hrbD // hrbC // hrbB // b3455 // ECK3439
livH	b3457	livH // hrbD // hrbC // hrbB // b3457 // ECK3441
livJ	b3460	livJ // hrbD // hrbC // hrbB // b3460 // ECK3444
livK	b3458	livK // hrbD // hrbC // hrbB // b3458 // ECK3442
livM	b3456	livM // b3456 // ECK3440
lldD	b3605	lldD // lct // lctD // b3605 // ECK3595
lldP	b3603	lldP // lct // lctP // b3603 // ECK3593
lldR	b3604	lldR // lct // lctR // b3604 // ECK3594
lnt	b0657	lnt // cutE // b0657 // ECK0649
loiP	b2936	loiP // yggG // b2936 // ECK2931
lolA	b0891	lolA // yzzV // lplA // b0891 // ECK0882
lolB	b1209	lolB // hemM // ychC // b1209 // ECK1197
lolC	b1116	lolC // ycfU // b1116 // ECK1102
lolD	b1117	lolD // ycfV // b1117 // ECK1103
lolE	b1118	lolE // ycfW // b1118 // ECK1104
lomR	b4570	lomR // b1369 // b1371 // b4570 // ECK1366
lon	b0439	lon // capR // deg // dir // lopA // muc // b0439 // ECK0433
lpd	b0116	lpd // dhl // lpdA // b0116 // ECK0115
lplA	b4386	lplA // yjjF // slr // b4386 // ECK4378
lplT	b2835	lplT // ygeD // b2835 // ECK2831
lpoA	b3147	lpoA // yraM // b3147 // ECK3135
lpoB	b1105	lpoB // ycfM // b1105 // ECK1091
lpp	b1677	lpp // mlpA // b1677 // ECK1673
lptA	b3200	lptA // yhbN // b3200 // ECK3189
lptB	b3201	lptB // yhbG // b3201 // ECK3190
lptC	b3199	lptC // yrbK // b3199 // ECK3188
lptD	b0054	lptD // yabG // ostA // imp // b0054 // ECK0055
lptE	b0641	lptE // rlpB // b0641 // ECK0634
lptF	b4261	lptF // yjgP // b4261 // ECK4254
lptG	b4262	lptG // yjgQ // b4262 // ECK4255
lptM	b4558	UNCLASSIFIED
lpxA	b0181	lpxA // b0181 // ECK0180
lpxB	b0182	lpxB // pgsB // b0182 // ECK0181
lpxC	b0096	lpxC // asmB // envA // b0096 // ECK0097
lpxD	b0179	lpxD // omsA // firA // b0179 // ECK0178
lpxH	b0524	lpxH // ybbF // b0524 // ECK0517
lpxK	b0915	lpxK // ycaH // b0915 // ECK0906
lpxL	b1054	lpxL // htrB // waaM // b1054 // ECK1039
lpxM	b1855	lpxM // mlt // waaN // msbB // b1855 // ECK1856
lpxP	b2378	lpxP // ddg // b2378 // ECK2374
lpxT	b2174	lpxT // yeiU // b2174 // ECK2168
lrhA	b2289	lrhA // genR // b2289 // ECK2283
lrp	b0889	lrp // rblA // oppI // mbf // lstR // alsB // ihb // livR // lrs // lss // b0889 // ECK0880
lspA	b0027	lspA // lsp // b0027 // ECK0028
lsrA	b1513	lsrA // ego // ydeX // b1513 // ECK1506
lsrB	b1516	lsrB // yneA // b1516 // ECK1509
lsrC	b1514	lsrC // ydeY // b1514 // ECK1507
lsrD	b1515	lsrD // ydeZ // b1515 // ECK1508
lsrF	b1517	lsrF // yneB // b1517 // ECK1510
lsrG	b1518	lsrG // yneC // b1518 // ECK1511
lsrK	b1511	lsrK // ydeV // b1511 // ECK1504
lsrR	b1512	lsrR // ydeW // b1512 // ECK1505
ltaE	b0870	ltaE // ltaA // ybjU // b0870 // ECK0861
luxS	b2687	luxS // ygaG // b2687 // ECK2681
lysA	b2838	lysA // b2838 // ECK2836
lysC	b4024	lysC // apk // b4024 // ECK4016
lysO	b0874	lysO // ybjE // b0874 // ECK0865
lysP	b2156	lysP // cadR // b2156 // ECK2149
lysQ	b0749	lysQ // b0749 // ECK0738
lysR	b2839	lysR // b2839 // ECK2837
lysS	b2890	lysS // asuD // herC // b2890 // ECK2885
lysT	b0743	lysT // supL // supG // sua // lysTalpha // Su[beta] // b0743 // ECK0732
lysU	b4129	lysU // b4129 // ECK4123
lysV	b2404	lysV // supN // b2404 // ECK2398
lysW	b0745	lysW // lysT-beta // lysTbeta // su // b0745 // ECK0734
lysY	b0747	lysY // lysTg // lysTgamma // b0747 // ECK0736
lysZ	b0748	lysZ // b0748 // ECK0737
lyxK	b3580	lyxK // lyx // xylK // sgbK // yiaP // b3580 // ECK3569
maa	b0459	maa // ylaD // b0459 // ECK0453
macA	b0878	macA // ybjY // b0878 // ECK0869
macB	b0879	macB // ybjZ // b0879 // ECK0870
maeA	b1479	maeA // sfcA // b1479 // ECK1473
maeB	b2463	maeB // ypfF // b2463 // ECK2458
mak	b0394	mak // yajF // b0394 // ECK0389
malE	b4034	malE // b4034 // ECK4026
malF	b4033	malF // b4033 // ECK4025
malG	b4032	malG // b4032 // ECK4024
malH	b4807	malH // b4807 // ECK4664
malI	b1620	malI // b1620 // ECK1615
malK	b4035	malK // malB // b4035 // ECK4027
malM	b4037	malM // molA // b4037 // ECK4029
malP	b3417	malP // malA // blu // b3417 // ECK3404
malQ	b3416	malQ // malA // b3416 // ECK3403
malS	b3571	malS // b3571 // ECK3560
malT	b3418	malT // malA // b3418 // ECK3405
malX	b1621	malX // b1621 // ECK1616
malY	b1622	malY // b1622 // ECK1617
malZ	b0403	malZ // b0403 // ECK0397
manA	b1613	manA // pmi // b1613 // ECK1608
manX	b1817	manX // gptB // mpt // ptsL // ptsX // b1817 // ECK1815
manY	b1818	manY // pel // ptsP // ptsX // b1818 // ECK1816
manZ	b1819	manZ // gptB // mpt // ptsM // ptsX // b1819 // ECK1817
maoP	b3764	maoP // yifE // b3764 // ECK3757
map	b0168	map // b0168 // ECK0166
marA	b1531	marA // norB // inaR // cfxB // nfxC // soxQ // b1531 // ECK1524
marB	b1532	marB // b1532 // ECK1525
marC	b1529	marC // ydeC // ydeB // b1529 // ECK1522
marR	b1530	marR // cfxB // inaR // soxQ // b1530 // ECK1523
matA	b0294	matA // ykgK // ecpR // b0294 // ECK0293
matP	b0956	matP // ycbG // b0956 // ECK0947
mazE	b2783	mazE // chpAI // chpR // b2783 // ECK2777
mazF	b2782	mazF // chpAK // chpA // b2782 // ECK2776
mazG	b2781	mazG // b2781 // ECK2775
mbiA	b0012	mbiA // htpY // htgA // b0012 // ECK0012
mcaS	b4426	mcaS // IS061 // isrA // b4426 // ECK1336
mcbA	b0806	mcbA // ybiM // b0806 // ECK0795
mcbR	b1450	mcbR // yncC // b1450 // ECK1444
mcrA	b1159	mcrA // rglA // b1159 // ECK1145
mcrB	b4346	mcrB // rglB // b4346 // ECK4336
mcrC	b4345	mcrC // b4345 // ECK4335
mdaB	b3028	mdaB // mda66 // b3028 // ECK3019
mdfA	b0842	mdfA // cmlA // cmr // b0842 // ECK0832
mdh	b3236	mdh // b3236 // ECK3225
mdlA	b0448	mdlA // mdl // b0448 // ECK0442
mdlB	b0449	mdlB // mdl // b0449 // ECK0443
mdtA	b2074	mdtA // yegM // b2074 // ECK2070
mdtB	b2075	mdtB // yegN // b2075 // ECK2071
mdtC	b2076	mdtC // yegO // b2076 // ECK2072
mdtD	b2077	mdtD // yegB // iceT // b2077 // ECK2073
mdtE	b3513	mdtE // yhiU // b3513 // ECK3497
mdtF	b3514	mdtF // yhiV // b3514 // ECK3498
mdtG	b1053	mdtG // yceE // b1053 // ECK1038
mdtH	b1065	mdtH // yceL // b1065 // ECK1050
mdtI	b1599	mdtI // ydgE // b1599 // ECK1594
mdtJ	b1600	mdtJ // ydgF // b1600 // ECK1595
mdtK	b1663	mdtK // norE // norM // ydhE // b1663 // ECK1659
mdtL	b3710	mdtL // yidY // b3710 // ECK3703
mdtM	b4337	mdtM // yjiO // b4337 // ECK4328
mdtN	b4082	mdtN // yjcR // sdsR // b4082 // ECK4075
mdtO	b4081	mdtO // yjcQ // sdsQ // b4081 // ECK4074
mdtP	b4080	mdtP // yjcP // sdsP // b4080 // ECK4073
mdtQ	b2139	mdtQ // yohH // yohG // b2138 // ECK2132 // b2139 // ECK2131
mdtU	b4777	mdtU // ydgV // b4777 // ECK4634
melA	b4119	melA // mel-7 // b4119 // ECK4112
melB	b4120	melB // mel-4 // b4120 // ECK4113
melR	b4118	melR // b4118 // ECK4111
menA	b3930	menA // yiiW // b3930 // ECK3922
menB	b2262	menB // b2262 // ECK2256
menC	b2261	menC // b2261 // ECK2255
menD	b2264	menD // b2264 // ECK2258
menE	b2260	menE // b2260 // ECK2254
menF	b2265	menF // yfbA // b2265 // ECK2259
menH	b2263	menH // yfbB // b2263 // ECK2257
menI	b1686	menI // ydiI // b1686 // ECK1683
mepA	b2328	mepA // b2328 // ECK2322
mepH	b1655	mepH // ydhO // b1655 // ECK1651
mepK	b0926	mepK // ycbK // b0926 // ECK0917
mepM	b1856	mepM // yebA // b1856 // ECK1857
mepS	b2175	mepS // yeiV // spr // b2175 // ECK2169
metA	b4013	metA // b4013 // ECK4005
metB	b3939	metB // met-1 // b3939 // ECK3931
metC	b3008	metC // b3008 // ECK3000
metE	b3829	metE // metB12 // b3829 // ECK3823
metF	b3941	metF // b3941 // ECK3933
metG	b2114	metG // b2114 // ECK2107
metH	b4019	metH // b4019 // ECK4011
metI	b0198	metI // metD // yaeE // b0198 // ECK0198
metJ	b3938	metJ // b3938 // ECK3930
metK	b2942	metK // metX // b2942 // ECK2937
metL	b3940	metL // metM // b3940 // ECK3932
metN	b0199	metN // metD // abc // b0199 // ECK0199
metQ	b0197	metQ // metD // yaeC // b0197 // ECK0197
metR	b3828	metR // b3828 // ECK3822
metT	b0673	metT // metTalpha // b0673 // ECK0661
metU	b0666	metU // metT-beta // metTbeta // b0666 // ECK0657
metV	b2816	metV // metZbeta // metX // metZ-beta // metZb // b2816 // ECK2812
metW	b2815	metW // b2815 // ECK2811
metY	b3171	metY // b3171 // ECK3160
metZ	b2814	metZ // metZalpha // b2814 // ECK2810
mfd	b1114	mfd // b1114 // ECK1100
mglA	b2149	mglA // mglP // mgl // b2149 // ECK2142
mglB	b2150	mglB // b2150 // ECK2143
mglC	b2148	mglC // mglP // b2148 // ECK2141
mgrB	b1826	mgrB // yobG // b1826 // ECK1824
mgrR	b4698	mgrR // b4698 // ECK4510
mgsA	b0963	mgsA // mgs // yccG // b0963 // ECK0954
mgtA	b4242	mgtA // atmA // corB // mgt // mtg // b4242 // ECK4237
mgtL	b4702	mgtL // b4702 // ECK4513
mgtS	b4599	mgtS // yneM // b4599 // ECK4409
mgtT	b4775	mgtT // b4775 // ECK4632
mhpA	b0347	mhpA // b0347 // ECK0344
mhpB	b0348	mhpB // b0348 // ECK0345
mhpC	b0349	mhpC // b0349 // ECK0346
mhpD	b0350	mhpD // mhpS // b0350 // ECK0347
mhpE	b0352	mhpE // b0352 // ECK0349
mhpF	b0351	mhpF // b0351 // ECK0348
mhpR	b0346	mhpR // b0346 // ECK0343
mhpT	b0353	mhpT // yaiK // b0353 // ECK0350
miaA	b4171	miaA // trpX // b4171 // ECK4167
miaB	b0661	miaB // yleA // b0661 // ECK0653
micA	b4442	micA // sraD // psrA10 // b4442 // ECK2682
micC	b4427	micC // IS063 // tke8 // b4427 // ECK1373
micF	b4439	micF // stc // b4439 // ECK2208
micL	b4717	UNCLASSIFIED
minC	b1176	minC // minB // b1176 // ECK1164
minD	b1175	minD // minB // b1175 // ECK1163
minE	b1174	minE // minB // b1174 // ECK1162
mioC	b3742	mioC // yieB // b3742 // ECK3736
mipA	b1782	mipA // yeaF // b1782 // ECK1780
mlaA	b2346	mlaA // vacJ // b2346 // ECK2340
mlaB	b3191	mlaB // yrbB // b3191 // ECK3180
mlaC	b3192	mlaC // yrbC // b3192 // ECK3181
mlaD	b3193	mlaD // yrbD // b3193 // ECK3182
mlaE	b3194	mlaE // yrbE // b3194 // ECK3183
mlaF	b3195	mlaF // yrbF // b3195 // ECK3184
mlc	b1594	mlc // dgsA // b1594 // ECK1589
mliC	b1639	UNCLASSIFIED
mlrA	b2127	mlrA // yehV // b2127 // ECK2119
mltA	b2813	mltA // ygdM // mlt // b2813 // ECK2809
mltB	b2701	mltB // slt // b2701 // ECK2696
mltC	b2963	mltC // yggZ // b2963 // ECK2958
mltD	b0211	mltD // yafG // dniR // b0211 // ECK0211
mltF	b2558	mltF // yfhD // b2558 // ECK2556
mltG	b1097	mltG // yceG // b1097 // ECK1083
mmuM	b0261	mmuM // yagD // b0261 // ECK0263
mmuP	b0260	mmuP // ykfD // b0260 // ECK0262
mnaT	b1448	UNCLASSIFIED
mngA	b0731	mngA // frx // hrsA // b0731 // ECK0719
mngB	b0732	mngB // ybgG // b0732 // ECK0720
mngR	b0730	mngR // ybgB // farR // b0730 // ECK0718
mnmA	b1133	mnmA // asuE // ycfB // trmU // b1133 // ECK1119
mnmC	b2324	mnmC // yfcK // trmC // b2324 // ECK2318
mnmE	b3706	mnmE // trmE // thdF // b3706 // ECK3699
mnmG	b3741	mnmG // gidA // trmF // b3741 // ECK3734
mntH	b2392	mntH // mntA // yfeP // b2392 // ECK2387
mntP	b1821	mntP // yebN // b1821 // ECK1819
mntR	b0817	mntR // ybiQ // b0817 // ECK0807
mntS	b4705	UNCLASSIFIED
moaA	b0781	moaA // bisA // chlA // chlA1 // narA // b0781 // ECK0770
moaB	b0782	moaB // chlA2 // b0782 // ECK0771
moaC	b0783	moaC // chlA3 // b0783 // ECK0772
moaD	b0784	moaD // chlA4 // chlM // b0784 // ECK0773
moaE	b0785	moaE // chlA5 // b0785 // ECK0774
mobA	b3857	mobA // chlB // mob // narB // b3857 // ECK3849
mobB	b3856	mobB // yihC // b3856 // ECK3848
mocA	b2877	mocA // ygfJ // b2877 // ECK2873
modA	b0763	modA // b0763 // ECK0752
modB	b0764	modB // chlJ // tslJ // b0764 // ECK0753
modC	b0765	modC // chlD // narD // b0765 // ECK0754
modE	b0761	modE // chlD // modR // b0761 // ECK0750
modF	b0760	modF // chlD // phrA // b0760 // ECK0749
moeA	b0827	moeA // bisB // chlE // narE // b0827 // ECK0817
moeB	b0826	moeB // chlN // b0826 // ECK0816
mog	b0009	mog // yaaG // bisD // chlG // mogA // b0009 // ECK0009
mokA	b4647	mokA // b4647 // ECK4448
mokB	b1420	mokB // b1420 // ECK1413
mokC	b0018	mokC // gefL // b0018 // ECK0018
motA	b1890	motA // flaJ // b1890 // ECK1891
motB	b1889	motB // flaJ // b1889 // ECK1890
motR	b4828	UNCLASSIFIED
mpaA	b1326	mpaA // ycjI // b1326 // ECK1322
mpl	b4233	mpl // tpl // yjfG // b4233 // ECK4228
mppA	b1329	mppA // ynaH // b1329 // ECK1326
mprA	b2684	mprA // emrR // b2684 // ECK2678
mqo	b2210	mqo // yojH // b2210 // ECK2202
mqsA	b3021	mqsA // ygiT // b3021 // ECK3012
mqsR	b3022	mqsR // ygiU // b3022 // ECK3013
mraY	b0087	mraY // murX // b0087 // ECK0088
mraZ	b0081	UNCLASSIFIED
mrcA	b3396	mrcA // ponA // b3396 // ECK3383
mrcB	b0149	mrcB // pbpF // ponB // b0149 // ECK0148
mrdA	b0635	mrdA // pbpA // b0635 // ECK0628
mrdB	b0634	mrdB // rodA // b0634 // ECK0627
mreB	b3251	mreB // rodY // envB // mon // mreB_1 // b3251 // ECK3239
mreC	b3250	mreC // b3250 // ECK3238
mreD	b3249	mreD // b3249 // ECK3237
mrp	b2113	mrp // b2113 // ECK2106
mrr	b4351	mrr // b4351 // ECK4341
msbA	b0914	msbA // b0914 // ECK0905
mscK	b0465	mscK // aefA // kefA // b0465 // ECK0459
mscL	b3291	mscL // yhdC // b3291 // ECK3277
mscM	b4159	mscM // yjeP // b4159 // ECK4155
mscS	b2924	mscS // yggB // b2924 // ECK2920
msrA	b4219	msrA // pms // pmsR // b4219 // ECK4215
msrB	b1778	msrB // yeaA // b1778 // ECK1776
msrC	b1832	UNCLASSIFIED
msrP	b1971	msrP // yedY // b1971 // ECK1967
msrQ	b1972	msrQ // yedZ // b1972 // ECK1968
msyB	b1051	UNCLASSIFIED
mtfA	b1976	mtfA // yeeI // b1976 // ECK1972
mtgA	b3208	mtgA // mgt // yrbM // b3208 // ECK3197
mtlA	b3599	mtlA // mtlC // b3599 // ECK3588
mtlD	b3600	mtlD // b3600 // ECK3589
mtlR	b3601	mtlR // b3601 // ECK3590
mtn	b0159	mtn // pfs // yadA // mtnN // b0159 // ECK0158
mtr	b3161	mtr // b3161 // ECK3149
mug	b3068	mug // ygjF // b3068 // ECK3058
mukB	b0924	mukB // b0924 // ECK0915
mukE	b0923	mukE // kicA // ycbA // b0923 // ECK0914
mukF	b0922	mukF // kicB // b0922 // ECK0913
murA	b3189	murA // mrbA // murZ // b3189 // ECK3178
murB	b3972	murB // yijB // b3972 // ECK3964
murC	b0091	murC // b0091 // ECK0092
murD	b0088	murD // b0088 // ECK0089
murE	b0085	murE // b0085 // ECK0086
murF	b0086	murF // mra // b0086 // ECK0087
murG	b0090	murG // b0090 // ECK0091
murI	b3967	murI // yijA // dga // glr // b3967 // ECK3959
murJ	b1069	murJ // mviN // yceN // b1069 // ECK1054
murP	b2429	murP // yfeV // b2429 // ECK2424
murQ	b2428	murQ // yfeU // b2428 // ECK2423
murR	b2427	murR // yfeT // b2427 // ECK2422
mutH	b2831	mutH // mutR // prv // b2831 // ECK2827
mutL	b4170	mutL // b4170 // ECK4166
mutM	b3635	mutM // fpg // b3635 // ECK3625
mutS	b2733	mutS // ant // plm // fdv // b2733 // ECK2728
mutT	b0099	mutT // nudA // b0099 // ECK0100
mutY	b2961	mutY // micA // b2961 // ECK2956
mzrA	b3096	mzrA // ecfM // yqjB // b3096 // ECK3087
nac	b1988	nac // b1988 // ECK1983
nadA	b0750	nadA // nicA // b0750 // ECK0739
nadB	b2574	nadB // nic // nicB // b2574 // ECK2572
nadC	b0109	nadC // b0109 // ECK0108
nadD	b0639	nadD // ybeN // fusB // b0639 // ECK0632
nadE	b1740	nadE // efg // ntrL // b1740 // ECK1738
nadK	b2615	nadK // yfjE // yfjB // b2615 // ECK2611
nadR	b4390	nadR // nadI // b4390 // ECK4382
nagA	b0677	nagA // b0677 // ECK0665
nagB	b0678	nagB // glmD // b0678 // ECK0666
nagC	b0676	nagC // nagR // b0676 // ECK0664
nagE	b0679	nagE // pstN // ptsN // b0679 // ECK0667
nagK	b1119	nagK // ycfX // b1119 // ECK1105
nagZ	b1107	nagZ // ycfO // b1107 // ECK1093
nanA	b3225	nanA // b3225 // ECK3214
nanC	b4311	nanC // yjhA // b4311 // ECK4302
nanE	b3223	nanE // yhcJ // b3223 // ECK3212
nanK	b3222	nanK // yhcI // b3222 // ECK3211
nanM	b4310	nanM // yjhT // b4310 // ECK4301
nanQ	b3221	nanQ // yhcH // b3221 // ECK3210
nanR	b3226	nanR // yhcK // b3226 // ECK3215
nanS	b4309	nanS // yjhS // b4309 // ECK4300
nanT	b3224	nanT // b3224 // ECK3213
nanX	b4279	nanX // yjhB // b4279 // ECK4269
nanY	b4280	nanY // yjhC // b4280 // ECK4270
napA	b2206	napA // yojD // yojC // yojE // b2206 // ECK2198
napB	b2203	napB // yejY // b2203 // ECK2195
napC	b2202	napC // yejX // b2202 // ECK2194
napD	b2207	napD // yojF // b2207 // ECK2199
napF	b2208	napF // yojG // b2208 // ECK2200
napG	b2205	napG // yojA // yojB // b2205 // ECK2197
napH	b2204	napH // yejZ // b2204 // ECK2196
narG	b1224	narG // chlC // narC // b1224 // ECK1218
narH	b1225	narH // chlC // b1225 // ECK1219
narI	b1227	narI // chlI // b1227 // ECK1221
narJ	b1226	narJ // b1226 // ECK1220
narK	b1223	narK // b1223 // ECK1217
narL	b1221	narL // frdR // narR // b1221 // ECK1215
naRNA1		UNCLASSIFIED
naRNA2		UNCLASSIFIED
naRNA3		UNCLASSIFIED
naRNA4		UNCLASSIFIED
naRNA5		UNCLASSIFIED
naRNA6		UNCLASSIFIED
narP	b2193	narP // b2193 // ECK2185
narQ	b2469	narQ // b2469 // ECK2464
narS	b4813	UNCLASSIFIED
narU	b1469	narU // yddF // b1469 // ECK1463
narV	b1465	narV // chlZ // b1465 // ECK1459
narW	b1466	narW // chlZ // b1466 // ECK1460
narX	b1222	narX // frdR // narR // frd1 // b1222 // ECK1216
narY	b1467	narY // chlZ // b1467 // ECK1461
narZ	b1468	narZ // chlZ // b1468 // ECK1462
nc1		UNCLASSIFIED
ndh	b1109	ndh // b1109 // ECK1095
ndk	b2518	ndk // b2518 // ECK2514
nei	b0714	nei // b0714 // ECK0703
nemA	b1650	nemA // ydhN // b1650 // ECK1646
nemR	b1649	nemR // ydhM // b1649 // ECK1645
nepI	b3662	nepI // yicM // b3662 // ECK3653
nfeF	b3070	nfeF // yqjH // b3070 // ECK3060
nfeR	b3071	nfeR // yqjI // b3071 // ECK3061
nfi	b3998	nfi // yjaF // b3998 // ECK3990
nfo	b2159	nfo // b2159 // ECK2152
nfrA	b0568	nfrA // b0568 // ECK0560
nfrB	b0569	nfrB // b0569 // ECK0561
nfsA	b0851	UNCLASSIFIED
nfsB	b0578	nfsB // ntr // dprA // nfnB // b0578 // ECK0570
nfuA	b3414	nfuA // yhgI // gntY // b3414 // ECK3401
nhaA	b0019	nhaA // ant // antA // b0019 // ECK0020
nhaB	b1186	nhaB // b1186 // ECK1174
nhaR	b0020	nhaR // antO // yaaB // b0020 // ECK0021
nhoA	b1463	UNCLASSIFIED
nikA	b3476	nikA // hydD // hydC // b3476 // ECK3460
nikB	b3477	nikB // hydC // hydD // b3477 // ECK3461
nikC	b3478	nikC // hydD // hydC // b3478 // ECK3462
nikD	b3479	nikD // hydD // hydC // b3479 // ECK3463
nikE	b3480	nikE // hydD // hydC // b3480 // ECK3464
nikR	b3481	nikR // yhhG // b3481 // ECK3465
nimR	b1790	nimR // yeaM // b1790 // ECK1788
nimT	b1791	nimT // yeaN // b1791 // ECK1789
ninE	b0548	ninE // b0548 // ECK0539
nirB	b3365	nirB // b3365 // ECK3353
nirC	b3367	nirC // b3367 // ECK3355
nirD	b3366	nirD // b3366 // ECK3354
nlpA	b3661	nlpA // b3661 // ECK3651
nlpC	b1708	UNCLASSIFIED
nlpD	b2742	nlpD // b2742 // ECK2737
nlpE	b0192	nlpE // cutF // b0192 // ECK0192
nlpI	b3163	nlpI // yhbM // b3163 // ECK3151
nmpC	b0553	nmpC // phmA // b0553 // ECK0544
nnr	b4167	nnr // yjeF // b4167 // ECK4163
nohA	b1548	nohA // nohQ // b1548 // ECK1541
nohD	b0560	nohD // nohB // b0560 // ECK0552
norR	b2709	norR // ygaA // b2709 // ECK2704
norV	b2710	norV // ygaJ // ygaI // ygaK // b2710 // ECK2705
norW	b2711	norW // ygaL // ygbD // b2711 // ECK2706
npr	b3206	npr // yhbK // ptsO // rpoR // b3206 // ECK3195
nrdA	b2234	nrdA // dnaF // b2234 // ECK2226
nrdB	b2235	nrdB // ftsB // b2235 // ECK2227
nrdD	b4238	nrdD // b4238 // ECK4233
nrdE	b2675	nrdE // b2675 // ECK2669
nrdF	b2676	nrdF // ygaD // b2676 // ECK2670
nrdG	b4237	nrdG // yjgE // b4237 // ECK4232
nrdH	b2673	nrdH // ygaN // b2673 // ECK2667
nrdI	b2674	nrdI // ygaO // b2674 // ECK2668
nrdR	b0413	nrdR // ybaD // b0413 // ECK0407
nrfA	b4070	nrfA // b4070 // ECK4063
nrfB	b4071	nrfB // yjcI // b4071 // ECK4064
nrfC	b4072	nrfC // yjcJ // b4072 // ECK4065
nrfD	b4073	nrfD // yjcK // b4073 // ECK4066
nrfE	b4074	nrfE // yjcL // b4074 // ECK4067
nrfF	b4075	nrfF // yjcM // b4075 // ECK4068
nrfG	b4076	nrfG // yjcN // aidC // b4076 // ECK4069
nsrR	b4178	nsrR // yjeB // b4178 // ECK4174
nth	b1633	nth // b1633 // ECK1629
nudB	b1865	nudB // yebD // ntpA // b1865 // ECK1866
nudC	b3996	nudC // yjaD // b3996 // ECK3988
nudE	b3397	nudE // yrfE // b3397 // ECK3384
nudF	b3034	nudF // trgB // aspP // yqiE // b3034 // ECK3025
nudG	b1759	nudG // ynjG // orf135 // b1759 // ECK1757
nudI	b2251	nudI // yfaO // b2251 // ECK2244
nudJ	b1134	nudJ // ymfB // b1134 // ECK1120
nudK	b2467	UNCLASSIFIED
nudL	b1813	nudL // yeaB // b1813 // ECK1811
nuoA	b2288	nuoA // b2288 // ECK2282
nuoB	b2287	nuoB // b2287 // ECK2281
nuoC	b2286	nuoC // nuoD // b2286 // ECK2280
nuoE	b2285	nuoE // b2285 // ECK2279
nuoF	b2284	nuoF // b2284 // ECK2278
nuoG	b2283	nuoG // b2283 // ECK2277
nuoH	b2282	nuoH // b2282 // ECK2276
nuoI	b2281	nuoI // b2281 // ECK2275
nuoJ	b2280	nuoJ // b2280 // ECK2274
nuoK	b2279	nuoK // b2279 // ECK2273
nuoL	b2278	nuoL // b2278 // ECK2272
nuoM	b2277	nuoM // nuoA // b2277 // ECK2271
nuoN	b2276	nuoN // b2276 // ECK2270
nupC	b2393	nupC // cru // b2393 // ECK2388
nupG	b2964	nupG // gru // b2964 // ECK2959
nupX	b2161	nupX // yeiJ // b2161 // ECK2154
nusA	b3169	nusA // b3169 // ECK3158
nusB	b0416	nusB // groNB // ssaD // ssyB // b0416 // ECK0410
nusG	b3982	nusG // b3982 // ECK3973
obgE	b3183	obgE // yhbZ // cgtA // obg // b3183 // ECK3172
och5		UNCLASSIFIED
ogrK	b2082	ogrK // b2082 // ECK2079
ogt	b1335	ogt // b1335 // ECK1331
ohsC	b4608	ohsC // ryfC // b4608 // ECK4417
ompA	b0957	ompA // con // tolG // tut // b0957 // ECK0948
ompC	b2215	ompC // meoA // par // b2215 // ECK2207
ompF	b0929	ompF // nfxB // tolF // cmlB // cry // b0929 // ECK0920
ompG	b1319	ompG // b1319 // ECK1315
ompL	b3875	ompL // yshA // b3875 // ECK3868
ompN	b1377	ompN // ynaG // b1377 // ECK1372
ompR	b3405	ompR // cry // kmt // ompB // b3405 // ECK3392
ompT	b0565	ompT // b0565 // ECK0557
ompW	b1256	ompW // yciD // b1256 // ECK1250
ompX	b0814	ompX // ybiG // ompP // b0814 // ECK0803
omrA	b4444	omrA // psrA12 // rygA // PAIR2a // t59 // sraE // b4444 // ECK2833
omrB	b4445	omrB // PAIR2b // t59 // rygB // b4445 // ECK2834
